Year,Artist,Artist (original),Name,Spotify,RAND
2019,GEORGE EZRA,GEORGE EZRA,Pretty Shining People,https://open.spotify.com/track/2JVwsN6viHjR9t5pCPQ4Br,0.352018886
2016,SIA,SIA,Cheap Thrills,http://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,0.244918799
2001,THE CALLING,THE CALLING,Wherever You Will Go,http://open.spotify.com/track/5QpaGzWp0hwB5faV8dkbAz,0.543626071
2024,DUA LIPA,DUA LIPA,Training Season,https://open.spotify.com/track/6Qb7YsAqH4wWFUMbGsCpap,0.64711622
1987,CROWDED HOUSE,CROWDED HOUSE,Don't Dream It's Over,http://open.spotify.com/track/7G7tgVYORlDuVprcYHuFJh,0.836843617
2018,NIELS DESTADSBADER,NIELS DESTADSBADER,Verover Mij (Live),http://open.spotify.com/track/5mhtUpxhJs4rWhCe2HwgjP,0.235094383
2000,ANOUK,ANOUK,Michel,http://open.spotify.com/track/14ue7xEp7uoJCUfluNlSbp,0.917583415
2021,THE WEEKND,THE WEEKND,Take My Breath,http://open.spotify.com/track/2vgUijXOTRMnWXDtvgMp2b,0.407261852
2002,P!NK,P!NK,Just Like A Pill,http://open.spotify.com/track/1BpV8IGf4XsRRJf4Xuui9q,0.257358554
2017,AJR,AJR,Weak,http://open.spotify.com/track/5DZwnLxHjWTZaz9jOpRhxb,0.178434147
2020,JAWSH 685 & JASON DERULO,JASON DERULO,Savage Love,http://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,0.282180222
2017,THE CHAINSMOKERS & COLDPLAY,THE CHAINSMOKERS,Something Just Like This,http://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,0.169892112
2010,RIHANNA,RIHANNA,Only Girl (In The World),http://open.spotify.com/track/2ENexcMEMsYk0rVJigVD3i,0.828791158
1992,ROXETTE,ROXETTE,How Do You Do!,http://open.spotify.com/track/3BK8mbUFbBZ3mI5HE4eqCR,0.465007962
2005,DANIEL POWTER,DANIEL POWTER,Bad Day,http://open.spotify.com/track/0mUyMawtxj1CJ76kn9gIZK,0.463135328
2009,BEYONCÉ,BEYONCÉ,Single Ladies (Put A Ring On It) ,http://open.spotify.com/track/2ZBNclC5wm4GtiWaeh0DMx,0.683210061
